602,2499
463,2498
533,2498
568,2498
498,2498
1158,2489
1124,2490
1089,2490
987,2489
917,2490
848,2490
1476,2489
951,2489
1546,2488
1510,2488
1787,2486
1718,2486
1580,2487
1194,2489
883,2490
1822,2486
1858,2485
2244,2477
370,2472
230,2474
334,2472
265,2473
602,2463
466,2463
567,2463
500,2463
533,2463
1193,2454
1123,2453
1089,2453
986,2454
881,2455
917,2455
849,2455
1510,2452
1579,2451
258,2433
359,2433
120,2430
603,2428
223,2430
85,2429
327,2429
292,2430
741,2426
533,2428
706,2425
568,2428
499,2428
1332,2417
1717,2416
1369,2417
1821,2415
1752,2415
1959,2413
1995,2412
2174,2407
2207,2406
2594,2404
2630,2402
575,2398
541,2399
602,2392
85,2395
120,2395
363,2394
740,2390
706,2390
951,2385
917,2385
1192,2383
986,2384
881,2384
847,2384
1158,2383
1123,2383
1089,2383
1369,2382
1332,2381
1959,2378
1994,2377
2207,2372
264,2368
2629,2368
2593,2369
334,2367
294,2362
532,2358
567,2357
120,2360
85,2360
363,2359
740,2355
706,2355
604,2356
986,2349
1158,2348
1123,2348
1088,2348
951,2350
1543,2347
1508,2347
916,2350
881,2350
1715,2345
1577,2347
1368,2346
1332,2345
1612,2346
1193,2347
1958,2342
1785,2345
1750,2345
1994,2341
1855,2343
1820,2344
2206,2336
2344,2335
2628,2332
2592,2333
2379,2335
541,2329
506,2329
120,2325
740,2320
705,2320
916,2315
881,2315
846,2315
1192,2313
1088,2313
986,2314
951,2314
1507,2313
1473,2313
1157,2313
1123,2313
1576,2312
1542,2312
1750,2311
1715,2311
1820,2310
1368,2311
1332,2311
1612,2312
1958,2308
1784,2310
1993,2306
1855,2309
2342,2300
464,2288
2448,2300
2413,2300
2379,2301
2626,2297
2591,2298
532,2288
498,2288
603,2287
120,2290
567,2287
259,2291
85,2289
224,2289
363,2289
327,2288
705,2285
741,2284
1088,2278
985,2279
950,2279
881,2279
846,2279
1542,2277
1507,2278
1472,2278
1192,2278
1157,2278
1122,2278
1577,2275
1331,2276
1227,2278
1714,2275
1367,2276
1784,2275
1750,2275
1611,2276
1957,2273
1854,2274
1819,2274
1992,2271
2626,2261
2590,2263
223,2255
602,2251
326,2253
363,2255
541,2244
499,2252
464,2252
950,2244
916,2244
880,2245
1087,2243
986,2244
1472,2243
1191,2243
1156,2243
1122,2243
1713,2241
1818,2240
1749,2240
1506,2243
1853,2239
1611,2242
1576,2242
1783,2240
2169,2232
230,2227
2239,2231
505,2224
462,2217
602,2216
532,2217
567,2216
119,2219
77,2213
740,2214
705,2215
846,2209
985,2209
950,2209
916,2209
881,2209
1545,2207
1506,2207
1471,2207
1156,2208
1122,2208
1087,2208
1575,2207
1330,2206
1191,2207
1712,2205
1610,2206
1783,2205
1748,2205
1853,2204
1818,2204
1367,2205
1991,2201
1954,2202
2097,2196
2587,2192
2623,2191
257,2185
602,2182
532,2183
120,2185
224,2185
293,2184
327,2183
738,2180
463,2181
362,2183
704,2180
568,2182
497,2185
846,2175
985,2174
950,2175
916,2174
881,2175
1504,2173
1470,2173
1122,2173
1542,2172
1329,2172
1191,2173
1157,2173
1610,2172
1574,2173
1747,2170
1712,2171
1817,2169
1366,2171
1954,2168
1851,2169
1782,2169
2586,2157
300,2156
369,2156
470,2153
2622,2156
2095,2160
567,2147
532,2148
120,2150
602,2147
85,2149
703,2145
738,2144
949,2139
915,2139
880,2140
846,2140
1086,2138
985,2138
1574,2137
1540,2138
1470,2138
1191,2137
1156,2138
1121,2138
1609,2137
1781,2135
1746,2135
1711,2135
1366,2136
1851,2134
1816,2134
1329,2136
1953,2131
1989,2131
2237,2126
2202,2126
2132,2127
2409,2124
2585,2122
2374,2125
2621,2121
2444,2124
2339,2125
326,2115
292,2115
362,2115
463,2113
119,2116
567,2112
532,2113
602,2112
84,2115
224,2115
259,2114
738,2111
505,2103
703,2111
915,2105
880,2105
846,2105
1470,2103
984,2104
949,2105
1539,2103
1190,2103
1156,2103
1121,2103
1086,2103
1609,2102
1329,2102
1711,2100
1574,2102
1365,2101
1781,2100
1746,2100
1851,2099
1816,2099
1988,2097
1953,2097
2131,2092
2166,2091
2236,2090
2584,2087
2373,2089
2479,2088
2443,2088
2407,2088
2619,2086
2337,2089
326,2080
293,2080
258,2081
224,2081
361,2079
533,2077
119,2081
85,2080
602,2077
703,2076
567,2077
464,2076
506,2068
738,2074
916,2070
880,2070
846,2070
985,2069
950,2069
1539,2068
1504,2067
1155,2068
1121,2069
1086,2068
1573,2067
1328,2067
903,2063
1608,2067
1364,2066
1745,2065
1710,2065
1815,2064
1780,2065
1952,2063
1850,2064
1987,2062
2130,2057
2478,2054
2583,2053
2235,2055
2199,2056
2337,2055
2093,2057
2442,2054
2373,2055
2618,2051
2407,2054
292,2046
258,2046
224,2046
326,2045
567,2042
462,2043
602,2041
362,2043
496,2041
880,2035
845,2036
949,2035
915,2035
1472,2031
1155,2033
1120,2033
1086,2034
984,2034
1538,2032
1503,2033
1224,2032
1190,2033
1608,2031
1709,2030
1814,2029
1779,2030
1745,2030
1849,2028
1572,2032
2199,2021
2165,2022
